"aa_id"|"event"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S037880"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190617124847"|"AA00079"|""|"N"
"S036593"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190608144423"|"AA00079"|""|"N"
"S037926"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190617125020"|"AA00079"|""|"N"
"S038411"|"TOP SCHOOLS WEEKEND 2019"|"20190817110245"|"AA00082"|"Junior King's"|"N"
"S038478"|"TOP SCHOOLS WEEKEND 2019"|"20190819165337"|"AA00073"|"Harrow, Abingdon and Tonbridge."|"N"
"S033817"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190617125709"|"AA00079"|""|"N"
"S037780"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190608160750"|"AA00079"|""|"N"
"S037929"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S037880"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S037395"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S037886"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S037546"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S036080"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S037670"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S035683"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S036562"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S037753"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190610123544"|"AA00079"|""|"N"
"S037535"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190610125045"|"AA00079"|""|"N"
"S036760"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190617125821"|"AA00079"|""|"N"
"S037851"|"TOP SCHOOLS WEEKEND 2019"|"20190610185935"|"AA00073"|"Interested in Brighton and Caterham;   sis of Nicole HO

Prefer 21st Sept for the interview"|"N"
"S038483"|"TOP SCHOOLS WEEKEND 2019"|"20190823115930"|"AA00083"|""|"N"
"S036242"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190611103246"|"AA00079"|""|"N"
"S037094"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190611103246"|"AA00079"|""|"N"
"S038063"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190611103246"|"AA00079"|""|"N"
"S038523"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2019"|"20190904175845"|"AA00083"|""|"N"
"S037231"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190704144145"|"AA00079"|""|"N"
"S035067"|"TOP SCHOOLS WEEKEND 2019"|"20190817133817"|"AA00007"|"harrow abingdon"|"N"
"S036970"|"TOP SCHOOLS WEEKEND 2019"|"20190820105921"|"AA00029"|""|"N"
"S040603"|"UK EDUCATION EXPO (OCT 2020)"|"20201024220002"|"30012"|""|"N"
