"aa_id"|"school_id"|"depositdate"|"amount"|"discount"|"lastupdate"|"staffid"|"remarks"|"commission"
"S034913"|3|"20171209"|11950|""|"20171209105039"|"AA00054"|""|"Y"
"S035789"|11|"20171209"|11680|""|"20171209110550"|""|""|"Y"
"S033996"|4|"20171209"|14187|""|"20171209113751"|""|""|"Y"
"S035474"|3|"20171209"|11950|""|"20171209144834"|""|""|"Y"
"S035813"|3|"20171209"|11950|""|"20171209185041"|""|""|"Y"
"S035975"|3|"20171212"|11950|""|"20171212105627"|""|""|"Y"
"S035575"|22|"20171212"|12050|""|"20171212121417"|""|""|"Y"
"S034973"|2|"20171212"|1000|""|"20171212131832"|""|""|"Y"
"S034107"|533|"20171115"|24240|""|"20171213103933"|"AA00029"|""|"Y"
"S031122"|2|"20171213"|6500|""|"20171213120604"|""|""|"Y"
"S035414"|3|"20171213"|11950|""|"20171213121033"|""|""|"Y"
"S032280"|61|"20171213"|10200|""|"20171213133608"|""|""|"Y"
"S035573"|16|"20171213"|3000|""|"20171213145159"|""|""|"Y"
"S032953"|4|"20171213"|14187|""|"20171213155921"|""|""|"Y"
"S035962"|9|"20171213"|11645|""|"20171213165135"|""|""|"Y"
"S033546"|11|"20171214"|11680|""|"20171214125113"|""|""|"Y"
"S035652"|159|"20171214"|12100|""|"20171214132016"|""|""|"Y"
"S035690"|655|"20171214"|11550|""|"20171214181423"|""|""|"Y"
"S036498"|154|"20171215"|15430|""|"20171215111504"|""|""|"Y"
"S035304"|3|"20171215"|11950|""|"20171215121004"|""|""|"Y"
"S035874"|3|"20171215"|11950|""|"20171215155534"|""|""|"Y"
"S030719"|22|"20171215"|12050|""|"20171215160941"|""|""|"Y"
"S033726"|472|"20171215"|11365|""|"20171215164229"|""|""|"Y"
"S035898"|11|"20171215"|11680|""|"20171215175745"|""|""|"Y"
"S034140"|7|"20171218"|14750|""|"20171218143745"|""|""|"Y"
"S036260"|528|"20171216"|0|""|"20171216100746"|"AA00029"|""|"N"
"S035781"|130|"20171218"|12000|""|"20171218110159"|""|""|"Y"
"S036269"|7|"20171218"|14750|""|"20171218152440"|""|""|"Y"
"S036018"|7|"20171218"|14750|""|"20171218173445"|""|""|"Y"
"S035348"|13|"20171219"|4988|""|"20171219144455"|""|""|"Y"
"S036229"|13|"20171219"|4988|""|"20171219171712"|""|""|"Y"
"S035977"|103|"20171220"|12360|""|"20171220104050"|""|""|"Y"
"S036412"|103|"20171220"|12360|""|"20171220164428"|""|""|"Y"
"S034631"|21|"20171221"|15800|""|"20171221103643"|""|""|"Y"
"S034590"|13|"20171221"|4988|""|"20171221104214"|""|""|"Y"
"S035969"|13|"20171221"|4988|""|"20171221105436"|""|""|"Y"
"S035796"|3|"20171221"|11950|""|"20171221114202"|""|""|"Y"
"S035959"|211|"20171221"|9609|""|"20171221121056"|""|""|"Y"
"S035873"|4|"20171221"|14187|""|"20171221121508"|""|""|"Y"
"S035116"|103|"20171221"|11770|""|"20171221123441"|""|""|"Y"
"S035316"|3|"20171221"|11950|""|"20171221150358"|""|""|"Y"
"S033355"|323|"20171221"|9609|""|"20171221160304"|""|""|"Y"
"S035588"|130|"20171221"|12000|""|"20171221162151"|""|""|"Y"
"S036400"|251|"20171222"|750|""|"20171222110437"|""|"BC deposit =GBP 750"|"Y"
"S036399"|251|"20171222"|750|""|"20171222110508"|""|"BC deposit=GBP750"|"Y"
"S035791"|7|"20171222"|14750|""|"20171222121005"|""|""|"Y"
"S034311"|7|"20171222"|14750|""|"20171222133510"|""|""|"Y"
"S036152"|3|"20171223"|11950|""|"20171223103031"|""|""|"Y"
"S035762"|381|"20171223"|13000|""|"20171223112911"|""|""|"Y"
"S034941"|7|"20171223"|14750|""|"20171223115420"|""|""|"Y"
"S036010"|3|"20171227"|11950|""|"20171227095913"|""|""|"Y"
"S036180"|12|"20171227"|14488|""|"20171227100604"|""|""|"Y"
"S035443"|13|"20171227"|4988|""|"20171227114541"|""|""|"Y"
"S035939"|7|"20171227"|14750|""|"20171227134049"|""|""|"Y"
"S036267"|7|"20171227"|14750|""|"20171227165538"|""|""|"Y"
"S033202"|13|"20180102"|4988|""|"20180102114545"|""|""|"Y"
"S033390"|12|"20171227"|0|""|"20171227170406"|"AA00007"|""|"N"
"S036063"|7|"20171229"|14750|""|"20171229100939"|""|""|"Y"
"S035985"|13|"20171229"|4988|""|"20171229104305"|""|""|"Y"
"S035429"|7|"20171229"|14750|""|"20171229104459"|""|""|"Y"
"S035943"|13|"20180102"|4988|""|"20180102173610"|""|""|"Y"
"S035587"|655|"20180103"|11550|""|"20180103102028"|""|""|"Y"
"S036207"|3|"20171229"|11950|""|"20171229110237"|"AA00054"|""|"Y"
"S036357"|322|"20171229"|10565|""|"20171229110701"|""|""|"Y"
"S035028"|13|"20171229"|4988|""|"20171229115344"|""|""|"Y"
"S035586"|655|"20180103"|11550|""|"20180103102101"|""|""|"Y"
"S036266"|4|"20171229"|14187|""|"20171229153458"|""|""|"Y"
"S037134"|12|"20181206"|14113.80|""|"20181206110702"|""|""|"Y"
"S036239"|4|"20171229"|14187|""|"20171229163903"|""|""|"Y"
"S035668"|381|"20171230"|13000|""|"20171230100139"|""|""|"Y"
