"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
414|"2017"|"A* - C"|"90.8"|"20181025113836"|"AA00078"|""|"GCSE"
414|"2017"|"A*"|"14.8"|"20181025113845"|"AA00078"|""|"A Level"
414|"2017"|"A* - A"|"43.9"|"20181025113854"|"AA00078"|""|"A Level"
414|"2017"|"A* - B"|"75.5"|"20181025113904"|"AA00078"|""|"A Level"
414|"2017"|"A* - C"|"87.8"|"20181025113916"|"AA00078"|""|"A Level"
558|"2017"|"A* - B"|"84"|"20181025114116"|"AA00078"|""|"GCSE"
558|"2017"|"A* - C"|"97"|"20181025114129"|"AA00078"|""|"GCSE"
558|"2017"|"A*"|"17"|"20181025114142"|"AA00078"|""|"A Level"
558|"2017"|"A* - A"|"43"|"20181025114146"|"AA00078"|""|"A Level"
558|"2017"|"A* - B"|"70"|"20181025114207"|"AA00078"|""|"A Level"
558|"2017"|"A* - C"|"87"|"20181025114226"|"AA00078"|""|"A Level"
570|"2017"|"A*"|"12"|"20181025114957"|"AA00078"|""|"GCSE"
570|"2017"|"A* - A"|"25"|"20181025115002"|"AA00078"|""|"GCSE"
570|"2017"|"A* - B"|"45"|"20181025115018"|"AA00078"|""|"GCSE"
570|"2017"|"A* - C"|"77"|"20181025115029"|"AA00078"|""|"GCSE"
570|"2017"|"A*"|"2"|"20181025115039"|"AA00078"|""|"A Level"
570|"2017"|"A* - A"|"8"|"20181025115043"|"AA00078"|""|"A Level"
570|"2017"|"A* - B"|"37"|"20181025115054"|"AA00078"|""|"A Level"
570|"2017"|"A* - C"|"68"|"20181025115111"|"AA00078"|""|"A Level"
575|"2017"|"A*"|"26"|"20181025120427"|"AA00078"|""|"GCSE"
575|"2017"|"A* - A"|"54"|"20181025120443"|"AA00078"|""|"GCSE"
575|"2017"|"A* - B"|"79"|"20181025120455"|"AA00078"|""|"GCSE"
575|"2017"|"A* - C"|"93"|"20181025120507"|"AA00078"|""|"GCSE"
575|"2017"|"A* - C"|"87"|"20181025120529"|"AA00078"|""|"A Level"
607|"2017"|"A* - C"|"95"|"20181025120727"|"AA00078"|""|"GCSE"
607|"2017"|"A* - C"|"81"|"20181025120748"|"AA00078"|""|"A Level"
15|"2017"|"A* - A"|"48"|"20181025135748"|"AA00078"|"approx. only.  Less than 50% gets A*-A.  School has not released actual data."|"A Level"
15|"2017"|"A*"|"44"|"20181025140650"|"AA00078"|""|"GCSE"
15|"2017"|"A* - A"|"69"|"20181025140706"|"AA00078"|""|"GCSE"
15|"2017"|"A* - B"|"90"|"20181025140722"|"AA00078"|""|"GCSE"
