"school_id"|"visitdate"|"lastupdate"|"staffid"|"remarks"|"schoolcontact"|"visitlog"|"result"
549|"20150427"|"20160412123928"|"AA00039"|"Consultant's visit: 

Campus Location:
Stephen Perse Sixth Form College is located near the City of Cambridge. It is about 20mins walk from the Cambridge station. Unlike the Junior and Senior School, the Sixth Form College is allocated separately on the other side of the Cambridge University Botanic Garden.

Campus:
The school is near the residential areas and the sports ground of the school. Most students live in town. Some activities or language lessons may be arranged in the Senior School after school, school will provide regular shuttle buses to transfer the students.

Accommodation:
Students have to arrange home stay on their own

Facilities:
School facilities are all very modern. The school has also rent another building as a new teaching block–The Shaftesbury Building which is just opposite the school main building. Conference rooms and school library has also been set up in the new building. Students can have lunch in the canteen and will be asked to pay for meals as taken.

Suitable For:
Students with good academic result
Independent student with good spoken English

NOT Suitable For:
Students who are shy and relying on others

AA Comment:
The facilities of the school are very modern and the students are all very independent. Staffs and tutors are very friendly and always willing to help even after school, they are happy to stay behind and have private tutorial."|""|""|""
16|"20150428"|"20160412174325"|"AA00039"|"Consultant's visit: 

Campus Location:
The school is 15 miles away from London. There is a regular train service from Victoria and Waterloo to Epsom. Epsom is located on the slopes of Epsom Downs in Surrey, which is 10 mins from Epsom Station.

Campus:
The campus is around 85 acres. Teaching blocks are concentrated with each other while most of the boarding houses are allocated on the other side of the campus. The campus is very well-organised, grouping with different sectors and departments.

Accommodation:
There are 8 boarding houses including 5 boys’ boarding houses and 3 girls’ boarding houses. Boarding is organised by vertical system except the White House - Boarding house for sixth form girls. Most of the boys’ boarding houses are newly refurbished. Students are sharing in to twin rooms and then singles further up the school.  It is all very modern and pleasant, with plenty of shared common-room space and good bathrooms. Students are welcome to go back to the boarding house anytime during day time.

Facilities:
The school buildings and grounds appear very traditional, but inside everything is up-to-date and very well-kept. Everything is smart and clean. Facilities are very nice including indoor swimming pool, gymnastic room, CCF training site etc. The School Shop is really big. Students can nearly purchase all essential things inside the shop.

Suitable For:
Students who are looking for school with many activities and like to do sports.

NOT Suitable For:
Students who only interested in work.

AA Comment:
The campus and facilities are extremely nice and modern. The school offers a lot of sport activities in the afternoon. Students are very busy after lunch and you can feel the environment of the school is very energetic. The school has Saturday School in the morning and Chapel on Sunday. Lunches serve with salad bar, hot dishes, desserts, vegetarian food etc for every staffs and students."|""|""|""
16|"20150428"|"20160412174347"|"AA00039"|"Consultant's visit: 

Campus Location:
The school is 15 miles away from London. There is a regular train service from Victoria and Waterloo to Epsom. Epsom is located on the slopes of Epsom Downs in Surrey, which is 10 mins away from Epsom Station.

Campus:
The campus is around 85 acres. Teaching blocks are concentrated with each other while most of the boarding houses are allocated on the other side of the campus. The campus is very well-organised, grouping with different sectors and departments.

Accommodation:
There are 8 boarding houses including 5 boys’ boarding houses and 3 girls’ boarding houses. Boarding is organised by vertical system except the White House - Boarding house for sixth form girls. Most of the boys’ boarding houses are newly refurbished. Students are sharing in to twin rooms and then singles further up the school.  It is all very modern and pleasant, with plenty of shared common-room space and good bathrooms. Students are welcome to go back to the boarding house anytime during day time.

Facilities:
The school buildings and grounds appear very traditional, but inside everything is up-to-date and very well-kept. Everything is smart and clean. Facilities are very nice including indoor swimming pool, gymnastic room, CCF training site etc. The School Shop is really big. Students can nearly purchase all essential things inside the shop.

Suitable For:
Students who are looking for school with many activities and like to do sports.

NOT Suitable For:
Students who only interested in work.

AA Comment:
The campus and facilities are extremely nice and modern. The school offers a lot of sport activities in the afternoon. Students are very busy after lunch and you can feel the environment of the school is very energetic. The school has Saturday School in the morning and Chapel on Sunday. Lunches serve with salad bar, hot dishes, desserts, vegetarian food etc for every staffs and students."|""|""|""
16|"20150428"|"20160412174441"|"AA00039"|"Consultant's visit: 

Campus Location:
The school is 15 miles away from London. There is a regular train service from Victoria and Waterloo to Epsom. Epsom is located on the slopes of Epsom Downs in Surrey, which is 10 mins away from Epsom Station.

Campus:
The campus is around 85 acres. Teaching blocks are concentrated with each other while most of the boarding houses are allocated on the other side of the campus. The campus is very well-organised, grouping with different sectors and departments.

Accommodation:
There are 8 boarding houses including 5 boys’ boarding houses and 3 girls’ boarding houses. Boarding is organised by vertical system except the White House - Boarding house for sixth form girls. Most of the boys’ boarding houses are newly refurbished. Students are sharing in to twin rooms and then singles further up the school.  It is all very modern and pleasant, with plenty of shared common-room space and good bathrooms. Students are welcome to return to the boarding house anytime during day time.

Facilities:
The school buildings and grounds appear very traditional, but inside everything is up-to-date and very well-kept. Everything is smart and clean. Facilities are very nice including indoor swimming pool, gymnastic room, CCF training site etc. The School Shop is really big. Students can nearly purchase all essential things inside the shop.

Suitable For:
Students who are looking for school with many activities and like to do sports.

NOT Suitable For:
Students who only interested in work.

AA Comment:
The campus and facilities are extremely nice and modern. The school offers a lot of sport activities in the afternoon. Students are very busy after lunch and you can feel the environment of the school is very energetic. The school has Saturday School in the morning and Chapel on Sunday. Lunches serve with salad bar, hot dishes, desserts, vegetarian food etc for every staffs and students."|""|""|""
16|"20150428"|"20160412174548"|"AA00039"|"Consultant's visit: 

Campus Location:
The school is 15 miles away from London. There is a regular train service from Victoria and Waterloo to Epsom. Epsom is located on the slopes of Epsom Downs in Surrey, which is 10 mins away from Epsom Station.

Campus:
The campus is around 85 acres. Teaching blocks are concentrated with each other while most of the boarding houses are allocated on the other side of the campus. The campus is very well-organised, grouping with different sectors and departments.

Accommodation:
There are 8 boarding houses including 5 boys’ boarding houses and 3 girls’ boarding houses. Boarding is organised by vertical system except the White House - Boarding house for sixth form girls. Most of the boys’ boarding houses are newly refurbished. Students are sharing in to twin rooms and then singles further up the school.  It is all very modern and pleasant, with plenty of shared common-room space and good bathrooms. Students are welcome to return to the boarding house anytime during day time.

Facilities:
The school buildings and grounds appear very traditional, but inside everything is up-to-date and very well-kept. Everything is smart and clean. Facilities are very nice including indoor swimming pool, gymnastic room, CCF training site etc. The School Shop is really big. Students can nearly purchase all essential things inside the shop.

Suitable For:
Students who are looking for school with many activities and like to do sports. They do different sports every term.

NOT Suitable For:
Students who only interested in work.

AA Comment:
The campus and facilities are extremely nice and modern. The school offers a lot of sport activities in the afternoon. Students are very busy after lunch and you can feel the environment of the school is very energetic. The school has Saturday School in the morning and Chapel on Sunday. Lunches serve with salad bar, hot dishes, desserts, vegetarian food etc for every staffs and students."|""|""|""
384|"20160511"|"20160530191509"|"AA00007"|"Visited by Battie

Campus Location:
Radley Station is within 15 mins walking distance to Radley College. Train from London Paddington to Radley take 58 min but need to change at Didcot Parkway. Alternatively, direct train from London Paddington to Oxford then half hour taxi. Drive from Heathrow takes 1 hour. 

Campus:
Huge! Enclosed campus.
700 acres. Registrar told me that it is very easy to remember because the school has 700 students, so 700 acres for 700 students. But I found the web stated 800 acres."|""|""|""
140|"20150429"|"20160414111910"|"AA00039"|"Campus Location:
Dean Close School is located in Gloucestershire. The nearest train station is Cheltenham Spa which is around 5 mins taxi ride or 10 mins walk from the school. There are several direct trains each day from London Paddington Station and the journey is about 2hr long.

Campus:
The School is divided into pre-prep, preparatory and senior schools located on separate but adjacent sites outside Cheltenham town centre. Most of the school buildings are enclosed with each other while the Sports Center and the School Shop is on the other side of the school site.

Accommodation:
There are 3 girls’ and 3 boys’ boarding houses. They are organised in vertical system. Two of the boarding houses are for sixth formers only. I’ve visited one of the girls’ boarding house – Shelburne. It is a building with four floors. It is very close to the rugby pitch, near the exit of the school. The interior of the house is very modern and girlish style. There is a long corridor for each floor with around 20 rooms on each floor. Walls are painted in yellow, orange and pink colour for each room. Most of the girls are sharing in 4 beds in a room. The 4th form and 5th form girls will be sharing in triple or twin beds in a room. Upper sixth students can be arranged for a single room. The rooms are spacious and tidy. There is a lift inside the house. Suitcases can be kept inside the room. Another boys’ boarding - Brook Court House is located near the Music School of the school. It is a building with 2 floors only with traditional boarding house settings. Students are allowed to come back during break and lunch time. Relationships of students and the boarding housemaster are quite close. 

Facilities:
The facilities of the school are quite modern. The school especially focuses their resources on Drama and Art. There are 10 drama productions every year on average, from whole school musicals to pupil-produced plays. 

Suitable For:
Girls who want good pastoral care with modern facilities of the school

Not Suitable For:
Girls who want to join traditional school


AA Comment:
The interior design and setting of the boarding house are very nice. The school is very concern about the pastoral care and guardian issue of students. In order to help the new students to settle down well, induction week will be arranged at the beginning for September. Most of the interior design of the schools is very modern."|""|""|""
140|"20150429"|"20160414111943"|"AA00039"|"Consultant's Visit:

Campus Location:
Dean Close School is located in Gloucestershire. The nearest train station is Cheltenham Spa which is around 5 mins taxi ride or 10 mins walk from the school. There are several direct trains each day from London Paddington Station and the journey is about 2hr long.

Campus:
The School is divided into pre-prep, preparatory and senior schools located on separate but adjacent sites outside Cheltenham town centre. Most of the school buildings are enclosed with each other while the Sports Center and the School Shop is on the other side of the school site.

Accommodation:
There are 3 girls’ and 3 boys’ boarding houses. They are organised in vertical system. Two of the boarding houses are for sixth formers only. I’ve visited one of the girls’ boarding house – Shelburne. It is a building with four floors. It is very close to the rugby pitch, near the exit of the school. The interior of the house is very modern and girlish style. There is a long corridor for each floor with around 20 rooms on each floor. Walls are painted in yellow, orange and pink colour for each room. Most of the girls are sharing in 4 beds in a room. The 4th form and 5th form girls will be sharing in triple or twin beds in a room. Upper sixth students can be arranged for a single room. The rooms are spacious and tidy. There is a lift inside the house. Suitcases can be kept inside the room. Another boys’ boarding - Brook Court House is located near the Music School of the school. It is a building with 2 floors only with traditional boarding house settings. Students are allowed to come back during break and lunch time. Relationships of students and the boarding housemaster are quite close. 

Facilities:
The facilities of the school are quite modern. The school especially focuses their resources on Drama and Art. There are 10 drama productions every year on average, from whole school musicals to pupil-produced plays. 

Suitable For:
Girls who want good pastoral care with modern facilities of the school

Not Suitable For:
Girls who want to join traditional school


AA Comment:
The interior design and setting of the boarding house are very nice. The school is very concern about the pastoral care and guardian issue of students. In order to help the new students to settle down well, induction week will be arranged at the beginning for September. Most of the interior design of the schools is very modern."|""|""|""
140|"20150429"|"20160414112026"|"AA00039"|"Consultant's Visit:

Campus Location:
Dean Close School is located in Gloucestershire. The nearest train station is Cheltenham Spa which is around 5 mins taxi ride or 10 mins walk from the school. There are several direct trains each day from London Paddington Station and the journey is about 2hr long.

Campus:
The School is divided into pre-prep, preparatory and senior schools located on separate but adjacent sites outside Cheltenham town centre. Most of the school buildings are enclosed with each other while the Sports Center and the School Shop is on the other side of the school site.

Accommodation:
There are 3 girls’ and 3 boys’ boarding houses. They are organised in vertical system. Two of the boarding houses are for sixth formers only. I’ve visited one of the girls’ boarding house – Shelburne. It is a building with four floors. It is very close to the rugby pitch, near the exit of the school. The interior of the house is very modern and girlish style. There is a long corridor for each floor with around 20 rooms on each floor. Walls are painted in yellow, orange and pink colour for each room. Most of the girls are sharing in 4 beds in a room. The 4th form and 5th form girls will be sharing in triple or twin beds in a room. Upper sixth students can be arranged for a single room. The rooms are spacious and tidy. There is a lift inside the house. Suitcases can be kept inside the room. Another boys’ boarding - Brook Court House is located near the Music School of the school. It is a building with 2 floors only with traditional boarding house settings. Students are allowed to come back during break and lunch time. Relationships of students and the boarding housemaster are quite close. 

Facilities:
The facilities of the school are quite modern. The school especially focuses their resources on Drama and Art. There are 10 drama productions every year on average, from whole school musicals to pupil-produced plays. 

Suitable For:
Girls who want good pastoral care with modern facilities of the school

Not Suitable For:
Girls who want to join traditional school


AA Comment:
The interior design and setting of the boarding house are very nice. The school is very concern about the pastoral care and guardian issue of students. In order to help the new students to settle down well, induction week will be arranged at the beginning for September."|""|""|""
140|"20150429"|"20160414112141"|"AA00039"|"Consultant's Visit:

Campus Location:
Dean Close School is located in Gloucestershire. The nearest train station is Cheltenham Spa which is around 5 mins taxi ride or 10 mins walk from the school. There are several direct trains each day from London Paddington Station and the journey is about 2hr long.

Campus:
The School is divided into pre-prep, preparatory and senior schools located on separate but adjacent sites outside Cheltenham town centre. Most of the school buildings are enclosed with each other while the Sports Center and the School Shop is on the other side of the school site.

Accommodation:
There are 3 girls’ and 3 boys’ boarding houses. They are organised in vertical system. Two of the boarding houses are for sixth formers only. I’ve visited one of the girls’ boarding house – Shelburne. It is a building with four floors. It is very close to the rugby pitch, near the exit of the school. The interior of the house is very modern and girlish style. There is a long corridor for each floor with around 20 rooms on each floor. Walls are painted in yellow, orange and pink colour for each room. Most of the girls are sharing in 4 beds in a room. The 4th form and 5th form girls will be sharing in triple or twin beds in a room. Upper sixth students can be arranged for a single room. The rooms are spacious and tidy. There is a lift inside the house. Suitcases can be kept inside the room. Another boys’ boarding - Brook Court House is located near the Music School of the school. It is a building with 2 floors only with traditional boarding house settings. Students are allowed to come back during break and lunch time. Relationships of students and the boarding housemaster are quite close. 

Facilities:
The facilities of the school are quite modern. The school especially focuses their resources on Drama and Art. There are 10 drama productions every year on average, from whole school musicals to pupil-produced plays. 

Suitable For:
Family who want good pastoral care with modern facilities of the school

Not Suitable For:
Family who look for school with traditional style and buildings


AA Comment:
The interior design and setting of the boarding house are very nice. The school is very concern about the pastoral care and guardian issue of students. In order to help the new students to settle down well, induction week will be arranged at the beginning for September."|""|""|""
