"topschool_id"|"school_id"|"applyyear"|"entranceexamdate"|"confirmed"|"applicationdeadline"|"lastupdate"|"staffid"|"remarks"
6|533|"Year 12"|"20131109"|"Y"|"20131007"|""|""|"* Student will need to complete an Online Application Form after registration is made. The link will be sent later."
6|13|"Year 12"|"20131013"|"Y"|"20131002"|""|"AA00040"|""
6|1|"Year 12"|"20131109"|"Y"|"20131011"|""|"AA00007"|"*Complete the attached Subjects Choices Form and return to Academic Asia with the Reg Form and Fee."
6|2|"Year 12"|"20131019"|"Y"|"20131005"|"application form & fee arrive school by 11 Oct 2013"|""|"* Please complete the Additional Form for Sixth Form application.
* If you are interested in applying for scholarship, please complete the scholarship application form. Please note that your child will need to fly to the UK for scholarship application except Academic Scholarship Application. Academic Scholarship paper will be sent to Academic Asia for invigilation."
6|3|"Year 10"|"20131006"|"Y"|"20131002"|""|"AA00040"|""
6|3|"Year 12"|"20131006"|"Y"|"20131002"|""|"AA00040"|""
6|3|"Year 7"|"20131006"|"Y"|"20131002"|""|"AA00040"|""
6|3|"Year 8"|"20131006"|"Y"|"20131002"|""|"AA00040"|""
6|3|"Year 9"|"20131006"|"Y"|"20131002"|""|"AA00040"|""
6|22|"Year 9"|"20131103"|"Y"|"20131004"|""|""|"* If you are interested in applying for scholarship, please complete the scholarship application form. Please note that your child will need to fly to the UK for scholarship application."
6|22|"Year 12"|"20131103"|"Y"|"20131004"|""|""|"* If you are interested in applying for scholarship, please complete the scholarship application form. Please note that your child will need to fly to the UK for scholarship application."
6|9|"Year 12"|"20131012"|"Y"|"20131002"|""|"AA00040"|""
6|533|"Year 9"|"20131109"|"Y"|"20131007"|""|"AA00007"|"* Please also complete the Special Entrance Y9 Application Form.
* Photo is needed to complete the form."
6|13|"Year 10"|"20131013"|"Y"|"20131002"|""|"AA00040"|""
6|13|"Year 7"|"20131013"|"Y"|"20131002"|""|"AA00040"|""
6|13|"Year 8"|"20131013"|"Y"|"20131002"|""|"AA00040"|""
6|13|"Year 9"|"20131013"|"Y"|"20131002"|""|"AA00040"|""
6|1|"Year 9"|"20131109"|"Y"|"20131011"|""|"AA00039"|""
6|22|"Year 10"|"20131103"|"Y"|"20131004"|""|"AA00039"|""
6|533|"Year 10"|"20131109"|"Y"|"20131007"|""|"AA00007"|"* Please also complete the Special Entrance Y10 Application Form.
* Photo is needed to complete the form."
6|7|"Year 12"|"20131103"|"Y"|"20131004"|""|""|"* Please find attached the below documents to facilitate your application:
1. Exam Form
2. Academic Scholarship Application Form
3. Sixth Form Booklet_AL
4. Sixth Form Booklet_IB
5. Sixth Form Guide to Courses
Please complete the Exam Form and return to Academic Asia with the Reg Form and Fee. Academic Scholarship Application Form is optional."
6|7|"Year 10"|"20140112"|"Y"|"20131004"|""|""|"* Please complete the Exam Form and return to Academic Asia with the Reg Form and Fee."
6|7|"Year 7"|"20131124"|"Y"|"20131114"|""|""|"* To complete the application, you are required to complete the Exam Form as well as the Reg Form, however, the Exam Form for Y7 is not available as at today. We expect it will be ready around 19 Oct 2013. Once it is ready, we will upload to the web for you to download, please login again to download the form nearer the time. Thank you."
19|1|"Year 9"|"20201017"|"Y"|"20201005"|"Y9 Sep2022"|"AA00007"|""
6|7|"Year 8"|"20140112"|"Y"|"20131121"|""|""|"* To complete the application, you are required to complete the Exam Form as well as the Reg Form, however, the Exam Form for Y8 is not available as at today. We expect it will be ready around 19 Oct 2013. Once it is ready, we will upload to the web for you to download, please login again to download the form nearer the time. Thank you."
6|2|"Year 9"|"20140104"|"Y"|"20131122"|""|""|"* If you are interested in applying for scholarship, please complete the scholarship application form. Please note that your child will need to fly to the UK for scholarship application except Academic Scholarship Application. Academic Scholarship paper will be sent to Academic Asia for invigilation."
6|7|"Year 9"|"20140112"|"Y"|"20131121"|""|""|"* To complete the application, you are required to complete the Exam Form as well as the Reg Form, however, the Exam Form for Y9 is not available as at today. We expect it will be ready around 19 Oct 2013. Once it is ready, we will upload to the web for you to download, please login again to download the form nearer the time. Thank you."
7|11|"Year 12"|"20141116"|"Y"|"20141010"|""|""|"* Please find attached the below documents to facilitate your application:
1. Academic Application Form
2. Personal Statement
3. Sixth Form Entrance Notes On Assessment
4. Art Scholarship Application Form
5. Drama Scholarship Application Form
6. Sport Scholarship Application Form

Please complete the below form and return to Academic Asia with the Reg Form and Fee. 
1. Academic Application Form
2. Personal Statement Exam Form 

If you are interested in applying for Art, Drama and Sports Scholarship, please complete the form and return to Academic Asia. Please note that student is required to fly to the UK for the assessment."
10|4|"Year 12"|"20131110"|"Y"|"20131004"|""|""|"* Enclosed please find the Art Scholarship Note and Entry Form, if you are interested in applying for art scholarship, please complete the Art Scholarship Entry Form and return to Academic Asia with the Reg Form and Fee."
6|4|"Year 9"|"20131117"|"Y"|"20131004"|""|""|"* Please find attached the Math & Science syllabi for your reference.
* Enclosed please find the Art Scholarship Note and Entry Form, if you are interested in applying for art scholarship, please complete the Art Scholarship Entry Form and return to Academic Asia with the Reg Form and Fee."
7|7|"Year 10"|"20150118"|"Y"|"20141120"|""|"30012"|"* Please complete the Exam Form and return to Academic Asia with the Reg Form and Fee."
8|21|"Year 12"|"20151018"|"Y"|"20151008"|""|"AA00007"|""
10|4|"Year 9"|"20131117"|"Y"|"20131004"|""|""|"* Please find attached the Math & Science syllabi for your reference.
* Enclosed please find the Art Scholarship Note and Entry Form, if you are interested in applying for art scholarship, please complete the Art Scholarship Entry Form and return to Academic Asia with the Reg Form and Fee."
7|21|"Year 10"|"20141019"|"Y"|"20141009"|""|"AA00003"|""
7|21|"Year 12"|"20141019"|"Y"|"20141009"|""|"AA00003"|""
7|21|"Year 9"|"20141019"|"Y"|"20141009"|""|"AA00003"|""
7|1|"Year 12"|"20141108"|"Y"|"20141010"|""|""|"Y12 Subject choice Form will be available online later. We will send you the link when we receive it."
7|1|"Year 10"|"20141108"|"Y"|"20141010"|""|""|""
7|7|"Year 7"|"20141130"|"Y"|"20141114"|""|""|"* To complete the application, you are required to complete the Exam Form as well as the Reg Form, however, the Exam Form for Y7 is not available as at today. We expect it will be ready around end of Oct 2014. Once it is ready, we will upload to the web for you to download, please login again to download the form nearer the time. Thank you."
7|7|"Year 9"|"20150118"|"Y"|"20141120"|""|""|"* To complete the application, you are required to complete the Exam Form as well as the Reg Form, however, the Exam Form for Y9 is not available as at today. We expect it will be ready around end of Oct 2014. Once it is ready, we will upload to the web for you to download, please login again to download the form nearer the time. Thank you."
7|22|"Year 10"|"20141102"|"Y"|"20141007"|"Online application form is available in September."|""|""
7|22|"Year 12"|"20141102"|"Y"|"20141007"|"Online application form is available in September."|""|"* If you are interested in applying for scholarship, please complete the scholarship application form. Please note that your child will need to fly to the UK for scholarship application."
7|22|"Year 9"|"20141102"|"Y"|"20141007"|"Online application form is available in September."|""|"* If you are interested in applying for scholarship, please complete the scholarship application form. Please note that your child will need to fly to the UK for scholarship application."
7|13|"Year 10"|"20141012"|"Y"|"20141006"|""|""|""
7|3|"Year 7"|"20141005"|"Y"|"20141003"|""|"AA00003"|""
7|3|"Year 8"|"20141005"|"Y"|"20141003"|""|"AA00003"|""
7|3|"Year 9"|"20141005"|"Y"|"20141003"|""|"AA00003"|""
7|3|"Year 10"|"20141005"|"Y"|"20141003"|""|"AA00003"|""
7|3|"Year 12"|"20141005"|"Y"|"20141003"|""|"AA00003"|""
7|13|"Year 12"|"20141012"|"Y"|"20141006"|""|""|""
7|13|"Year 7"|"20141012"|"Y"|"20141006"|""|""|""
7|13|"Year 8"|"20141012"|"Y"|"20141006"|""|""|""
7|6|"Year 9"|"20141005"|"Y"|""|""|"AA00003"|""
7|6|"Year 12"|"20141005"|"Y"|""|""|"AA00003"|""
7|13|"Year 9"|"20141012"|"Y"|"20141006"|""|""|""
7|533|"Year 8"|"20150110"|"Y"|"20141129"|""|""|""
7|533|"Year 7"|"20150110"|"Y"|"20141129"|""|""|""
