"indinterview_id"|"school_id"|"applyyear"|"entranceexamdate"|"confirmed"|"applicationdeadline"|"lastupdate"|"staffid"|"remarks"
19|534|"Year 12"|"20131110"|"Y"|""|""|"AA00007"|""
19|534|"Year 9"|"20140119"|"Y"|""|""|"AA00007"|""
