"expo_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
3|687|"20141024212644"|"AA00003"|""|""|"500"|""
5|344|"20150121115023"|"AA00003"|""|""|"500"|""
5|394|"20150121115031"|"AA00003"|""|""|"500"|""
5|404|"20150121115039"|"AA00003"|""|""|"500"|""
5|30021|"20150121115050"|"AA00003"|""|""|"500"|""
5|631|"20150121115120"|"AA00003"|""|""|"500"|""
5|641|"20150121115217"|"AA00003"|""|""|"500"|""
5|593|"20150121115232"|"AA00003"|""|""|"500"|""
5|483|"20150121115239"|"AA00003"|""|""|"500"|""
11|302|"20180120123709"|"AA00079"|""|""|"500"|""
7|55|"20160218111835"|"AA00062"|""|""|"0"|""
10|686|"20170927122423"|"AA00070"|""|""|"500"|""
7|192|"20160218111928"|"AA00062"|"interested in"|""|"500"|""
11|362|"20180120123835"|"AA00079"|""|""|"500"|""
7|197|"20160218111940"|"AA00062"|""|""|"500"|""
11|124|"20180120123619"|"AA00079"|""|""|"500"|""
11|373|"20180120123852"|"AA00079"|""|""|"500"|""
7|291|"20160218111959"|"AA00062"|""|""|"500"|""
10|36|"20170624103843"|"AA00070"|""|""|"500"|""
7|344|"20160218112013"|"AA00062"|""|""|"500"|""
11|389|"20180120123908"|"AA00079"|""|""|"500"|""
7|394|"20160218112026"|"AA00062"|""|""|"500"|""
6|41|"20151014201612"|"AA00007"|"interested"|""|"500"|""
6|50|"20151014201625"|"AA00007"|"interested"|""|"500"|""
7|30021|"20160218112042"|"AA00062"|"interested"|""|"500"|""
6|58|"20151014201634"|"AA00007"|""|""|"500"|""
10|41|"20170624103851"|"AA00070"|""|""|"500"|""
6|59|"20151014201642"|"AA00007"|""|""|"500"|""
7|423|"20160218112050"|"AA00062"|""|""|"500"|""
6|103|"20151014201653"|"AA00007"|""|""|"500"|""
11|185|"20180120123635"|"AA00079"|""|""|"500"|""
6|110|"20151014201703"|"AA00007"|""|""|"500"|""
7|554|"20160218112112"|"AA00062"|""|""|"500"|""
6|655|"20151014201709"|"AA00007"|""|""|"500"|""
10|472|"20170624103857"|"AA00070"|""|""|"500"|""
6|17|"20151014201719"|"AA00007"|""|""|"500"|""
8|313|"20161020150401"|"AA00070"|""|""|"500"|""
8|41|"20160916130631"|"AA00070"|""|""|"500"|""
8|36|"20160905163639"|"AA00007"|""|""|"500"|""
6|140|"20151014202014"|"AA00007"|""|""|"500"|""
9|325|"20161212124359"|"AA00070"|""|""|"500"|""
6|150|"20151014202021"|"AA00007"|""|""|"500"|""
9|673|"20161212124408"|"AA00070"|""|""|"500"|""
6|543|"20151014202055"|"AA00007"|""|""|"0"|""
9|373|"20161212124417"|"AA00070"|""|""|"500"|""
10|50|"20170624103902"|"AA00070"|""|""|"500"|""
11|53|"20180120123516"|"AA00079"|""|""|"500"|""
9|504|"20161212124947"|"AA00070"|""|""|"500"|""
7|34|"20160218111824"|"AA00062"|""|""|"500"|""
9|554|"20161212125001"|"AA00070"|""|""|"500"|""
7|30011|"20160218111846"|"AA00062"|""|""|"500"|""
