"aa_id"|"event"|"school_id"|"eventsubject"|"qualification"|"piece"|"composer"|"eventscore"|"offer"|"piority"|"lastupdate"|"staffid"|"remarks"
"S010864"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925181735"|""|""
"S012548"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130904174627"|"AA00020"|""
"S008470"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S012344"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925181735"|""|""
"S007340"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925181735"|""|""
"S012288"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925181735"|""|""
"S010234"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925183219"|""|""
"S008393"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S001408"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925183219"|""|""
"S012481"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914192807"|"AA00019"|""
"S009429"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925183219"|""|""
"S009377"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S031883"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2014"||""|""|""|""|""|"Y"|0|"20141009203537"|"AA00007"|""
"S006419"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130912164650"|"AA00002"|" "
"S012537"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130927125717"|""|""
"S012433"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S012430"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S012357"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S011963"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S030286"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S007638"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130906150339"|"AA00002"|""
"S012539"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130927125717"|""|""
"S010234"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S009100"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
