"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S010859"|"Y"|"WHG"|"LH2470"|"Lufthansa"|"London Heathrow T1"|"20130829"|"0850"|""|""|"20130725141319"|"AA00019"|"airport transfer + homestay + transfer to sch on 31/8"|0|0
"S010859"|"Y"|"WHG"|"LH2470"|"Lufthansa"|"London Heathrow T1"|"20130829"|"0850"|""|""|"20130725141339"|"AA00019"|"airport transfer + homestay + transfer to sch on 31/8, request sent to whg (25/7/2013)"|0|0
"S007990"|"N"|""|"sf556"|"cx"|"france"|"20131129"|"0900"|""|""|"20131129212414"|""|""|1|1
"S007990"|"Y"|"school"|"ba"|"ba"|"london"|"20131129"|"1200"|""|""|"20131129212531"|""|""|1|2
"S012361"|"N"|""|"CX253"|""|"LONDON HEATHROW T3"|"20140106"|"2010"|""|""|"20131213151845"|"AA00002"|"Mother will send student to school on the next day, 7 Jan 2014"|2|1
"S012361"|"N"|""|"CX253"|""|"LONDON HEATHROW T3"|"20140106"|"2010"|""|""|"20131213151920"|"AA00002"|"Mother will send student to school on the next day, 7 Jan 2014"|2|1
"S012361"|"N"|""|"CX253"|""|"LONDON HEATHROW T3"|"20140106"|"2010"|""|""|"20131213155324"|"AA00002"|"Mother will send student to school on the next day, 7 Jan 2014"|2|1
"S011679"|"N"|""|"CX253"|""|"London Heathrow T3"|"20140106"|"2010"|""|""|"20131213165730"|"AA00002"|""|4|1
"S012361"|"N"|""|"CX253"|""|"LONDON HEATHROW T3"|"20140106"|"2010"|""|""|"20131213165738"|"AA00002"|"Mother will send student to school on the next day, 7 Jan 2014"|2|1
"S012035"|"Y"|"School"|"BA26"|""|"London Heathrow T5"|"20140105"|"0450"|""|""|"20131213160330"|"AA00002"|"by Diane"|3|1
"S009208"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140112"|"0450"|""|""|"20140102133809"|"AA00003"|""|6|1
"S009208"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140112"|"0450"|"Central City Cars (tel 01902 42346)"|"Angus should look for the driver inside the terminal once he has his luggage and has cleared customs.  The driver will be carrying a sign with either the School’s name or Angus’ name on it."|"20140106194113"|"AA00003"|"to be billed on sch bill"|6|1
"S009208"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140113"|"0450"|"Central City Cars (tel 01902 42346)"|"Angus should look for the driver inside the terminal once he has his luggage and has cleared customs.  The driver will be carrying a sign with either the School’s name or Angus’ name on it."|"20140113171258"|"AA00003"|"to be billed on sch bill"|6|1
"S011944"|"N"|""|""|""|""|"20140519"|""|""|""|"20140519122244"|"AA00007"|""|7|1
"S012619"|"N"|""|"Cathay Pacific CX207"|""|"`"|"20140709"|"0620"|""|""|"20140709110602"|"AA00003"|""|8|1
"S012619"|"Y"|""|"British Airways BA26"|""|"London Heathrow T5"|"20140903"|"0455"|""|""|"20140709165241"|"AA00032"|""|8|1
"S006434"|"N"|""|""|""|""|"20140709"|""|""|""|"20140709172803"|"AA00003"|"for the beginning of Sep14"|9|1
"S030645"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122059"|"AA00032"|""|123|1
"S030645"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122121"|"AA00032"|""|123|1
"S010184"|"Y"|""|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20140830"|"1505"|""|""|"20140712122256"|"AA00032"|""|126|1
"S031158"|"N"|""|"British Airways BA28"|""|"London Heathrow T5"|"20140830"|"0535"|""|""|"20140712144257"|"AA00032"|""|165|1
"S010986"|"Y"|"Quest"|"Cathay Pacific CX251"|""|"London Heathrow T3"|"20140901"|"0540"|""|""|"20140712175159"|"AA00032"|""|199|1
"S030367"|"N"|""|"Emirate"|""|""|"20140903"|""|""|""|"20140714114328"|"AA00032"|""|324|1
"S007454"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712175022"|"AA00032"|""|195|1
"S012619"|"Y"|""|"British Airways BA26"|""|"London Heathrow T5"|"20140903"|"0455"|""|""|"20140709165257"|"AA00032"|""|8|1
"S011940"|"Y"|""|"Cathay Pacific CX239"|""|"London Heathrow T3"|"20140830"|"1810"|""|""|"20140718160810"|"AA00032"|""|352|1
"S031028"|"Y"|"School"|"Virgin Atlantic VS201"|""|""|"20140831"|"0525"|""|""|"20140718171637"|"AA00032"|""|353|1
"S031517"|"Y"|"WHG"|""|""|""|"20140712"|""|""|""|"20140712111918"|"AA00032"|""|75|1
"S030451"|"Y"|"School"|"Cathay Pacific CX237"|""|"London Heathrow T3"|"20140831"|"0620"|""|""|"20140714110850"|"AA00032"|""|267|1
"S010184"|"Y"|"School"|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20140830"|"1505"|""|""|"20140712122302"|"AA00032"|""|126|1
"S007710"|"Y"|"School"|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20140714"|"1500"|""|""|"20140714104113"|"AA00032"|"Arrival date (?)"|221|1
"S006369"|"N"|""|"British Airways"|""|""|"20131213"|""|""|""|"20131213193923"|"AA00003"|""|5|1
"S006369"|"N"|""|"British Airways"|""|""|"20131213"|""|"itinerary received"|""|"20140726105850"|"AA00003"|""|5|1
"S012618"|"Y"|"School"|"Cathay Pacific CX215"|""|"London Heathrow T1"|"20140829"|"2355"|""|""|"20140714104652"|"AA00032"|""|231|1
"S011869"|"Y"|"WHG"|""|""|""|"20140712"|""|""|""|"20140712103255"|"AA00032"|""|48|1
"S011869"|"Y"|"WHG"|"Cathay Pacific CX239"|""|"London Heathrow T3"|"20140827"|"1810"|""|""|"20140726121344"|"AA00032"|""|48|1
"S030367"|"N"|""|"Emirate EK383"|""|""|"20140903"|""|""|""|"20140714114426"|"AA00032"|""|324|1
"S030367"|"Y"|"School"|"Emirate EK007"|""|"London Heathrow T3"|"20140903"|"0700"|""|""|"20140714114418"|"AA00032"|""|324|2
"S012035"|"Y"|"School"|"BA26"|""|"London Heathrow T5"|"20140105"|"0450"|""|""|"20131214102035"|"AA00002"|"by Diane"|3|1
"S031115"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140902"|"0535"|""|""|"20140712141223"|"AA00032"|""|141|1
"S031276"|"Y"|"WHG"|""|""|""|"20140714"|""|""|""|"20140714112656"|"AA00032"|""|295|1
"S031276"|"Y"|"WHG"|""|""|""|"20140714"|""|"itin received"|""|"20140726123016"|"AA00032"|""|295|1
"S009822"|"Y"|"WHG"|"Singapore Airlines SQ322"|""|"London Heathrow T3"|"20140830"|"0555"|""|""|"20140712104457"|"AA00032"|""|61|1
"S031517"|"Y"|"WHG"|""|""|""|"20140712"|""|""|""|"20140721172708"|"AA00032"|"travel as UM"|75|1
"S030389"|"Y"|""|"British Airways BA26"|""|"London Heathrow T3"|"20140826"|""|""|""|"20140712105124"|"AA00032"|""|65|1
"S030389"|"Y"|""|"British Airways BA26"|""|"London Heathrow T5"|"20140826"|"0455"|"itin received"|""|"20140726135331"|"AA00032"|""|65|1
