"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
299|"2013"|"A* - A"|"45"|"20131007155704"|"AA00040"|""|"GCSE"
299|"2013"|"A* - B"|"64"|"20131007155711"|"AA00040"|""|"A Level"
534|"2013"|"A* - A"|"43"|"20131007160825"|"AA00040"|""|"A Level"
534|"2013"|"A*"|"41"|"20131007160839"|"AA00025"|""|"GCSE"
264|"2013"|"A* - A"|"34.9"|"20131008103140"|"AA00025"|""|"GCSE"
257|"2013"|"A* - A"|"65"|"20131008105737"|"AA00040"|""|"GCSE"
257|"2013"|"A* - A"|"46"|"20131008105756"|"AA00040"|""|"A Level"
257|"2013"|"A* - B"|"79.4"|"20131008105800"|"AA00040"|""|"A Level"
248|"2013"|"A* - A"|"31.3"|"20131008110846"|"AA00040"|""|"A Level"
235|"2013"|"A* - A"|"66.73"|"20131008111437"|"AA00040"|""|"A Level"
235|"2013"|"A* - B"|"89"|"20131008111441"|"AA00040"|""|"A Level"
211|"2013"|"A*"|"45.9"|"20131008112704"|"AA00040"|""|"GCSE"
208|"2013"|"A* - A"|"52.69"|"20131008113124"|"AA00040"|""|"A Level"
208|"2013"|"A* - B"|"75.8"|"20131008113129"|"AA00040"|""|"A Level"
16|"2013"|"A*"|"31"|"20131008115309"|"AA00040"|""|"GCSE"
16|"2013"|"A* - A"|"70"|"20131008115313"|"AA00040"|""|"GCSE"
154|"2013"|"A* - B"|"90.4"|"20131008115910"|"AA00025"|""|"A Level"
150|"2013"|"A* - A"|"20"|"20131008120045"|"AA00040"|""|"GCSE"
140|"2013"|"A* - B"|"71"|"20131008120522"|"AA00040"|""|"A Level"
140|"2013"|"A*"|"34"|"20131008120542"|"AA00040"|""|"A Level"
136|"2013"|"A*"|"45.5"|"20131008152122"|"AA00040"|""|"GCSE"
136|"2013"|"A* - A"|"76.5"|"20131008152126"|"AA00040"|""|"GCSE"
136|"2013"|"A* - A"|"50.4"|"20131008152140"|"AA00025"|""|"A Level"
136|"2013"|"A* - B"|"80"|"20131008152145"|"AA00025"|""|"A Level"
113|"2013"|"A* - A"|"46.39"|"20131008154235"|"AA00040"|""|"A Level"
110|"2013"|"A* - A"|"56"|"20131008160418"|"AA00040"|""|"GCSE"
110|"2013"|"A* - A"|"46.07"|"20131008160429"|"AA00040"|""|"A Level"
110|"2013"|"A* - B"|"77"|"20131008160434"|"AA00040"|""|"A Level"
100|"2013"|"A* - A"|"75"|"20131008160929"|"AA00040"|""|"GCSE"
100|"2013"|"A*"|"32"|"20131008160935"|"AA00040"|""|"A Level"
100|"2013"|"A* - A"|"68"|"20131008160942"|"AA00040"|""|"A Level"
100|"2013"|"A* - B"|"88"|"20131008160947"|"AA00040"|""|"A Level"
29|"2013"|"A* - B"|"78"|"20131008174108"|"AA00040"|""|"A Level"
58|"2013"|"A*"|"14.6"|"20131008174214"|"AA00040"|""|"A Level"
58|"2013"|"A* - A"|"53.4"|"20131008174220"|"AA00040"|""|"A Level"
58|"2013"|"A* - B"|"81.2"|"20131008174224"|"AA00040"|""|"A Level"
43|"2013"|"A* - A"|"25.6"|"20131009112633"|"AA00025"|""|"GCSE"
43|"2013"|"A* - A"|"18"|"20131009112639"|"AA00025"|""|"A Level"
43|"2013"|"A* - B"|"20.5"|"20131009112643"|"AA00025"|""|"A Level"
15|"2013"|"A* - A"|"79.4"|"20131010161422"|"AA00040"|""|"GCSE"
15|"2013"|"A*"|"22.5"|"20131010161430"|"AA00040"|""|"A Level"
15|"2013"|"A* - B"|"84"|"20131010161435"|"AA00040"|""|"A Level"
259|"2013"|""|"33.6"|"20131010161609"|"AA00039"|""|"IB"
211|"2013"|"A*"|"46.9"|"20131010162651"|"AA00025"|""|"GCSE"
211|"2013"|"A* - A"|"75.91"|"20131010162657"|"AA00040"|""|"GCSE"
211|"2013"|"A* - A"|"52.4"|"20131010162703"|"AA00040"|""|"A Level"
30000|"2013"|"A* - A"|"31"|"20131010162938"|"AA00040"|""|"GCSE"
566|"2013"|"A* - A"|"38"|"20131010163110"|"AA00040"|""|"A Level"
130|"2013"|"A* - A"|"77.5"|"20131010163313"|"AA00040"|""|"GCSE"
130|"2013"|"A*"|"37"|"20131010163319"|"AA00040"|""|"A Level"
130|"2013"|"A* - A"|"78"|"20131010163324"|"AA00040"|""|"A Level"
130|"2013"|"A* - B"|"95"|"20131010163329"|"AA00040"|""|"A Level"
501|"2013"|"A* - A"|"52"|"20131010164616"|"AA00040"|""|"A Level"
501|"2013"|"A*"|"14"|"20131010171117"|"AA00025"|""|"A Level"
501|"2013"|"A* - A"|"53"|"20131010171122"|"AA00025"|""|"A Level"
501|"2013"|"A* - B"|"72"|"20131010171126"|"AA00025"|""|"A Level"
501|"2013"|"A* - A"|"46"|"20131010171142"|"AA00025"|""|"GCSE"
32|"2013"|"A* - A"|"36"|"20131010171338"|"AA00040"|""|"GCSE"
65|"2013"|"A* - A"|"49"|"20131011101103"|"AA00040"|""|"GCSE"
65|"2013"|"A*"|"21"|"20131011101108"|"AA00040"|""|"A Level"
65|"2013"|"A* - A"|"50"|"20131011101115"|"AA00025"|""|"GCSE"
65|"2013"|"A* - B"|"64"|"20131011101118"|"AA00040"|""|"A Level"
380|"2013"|"A* - A"|"47"|"20131011101235"|"AA00025"|""|"GCSE"
574|"2013"|"A*"|"21"|"20131011102851"|"AA00025"|""|"GCSE"
574|"2013"|"A* - A"|"49"|"20131011102856"|"AA00025"|""|"GCSE"
78|"2013"|"A* - B"|"50"|"20131011103100"|"AA00025"|""|"A Level"
442|"2013"|"A* - B"|"69"|"20131011103514"|"AA00040"|""|"A Level"
603|"2013"|"A*"|"37.4"|"20131011103659"|"AA00040"|""|"A Level"
603|"2013"|"A* - A"|"70.7"|"20131011103702"|"AA00040"|""|"A Level"
556|"2013"|"A*"|"9"|"20131011104004"|"AA00040"|""|"A Level"
556|"2013"|"A*"|"10"|"20131011104011"|"AA00025"|""|"A Level"
556|"2013"|"A* - A"|"19.59"|"20131011104015"|"AA00040"|""|"A Level"
556|"2013"|"A* - B"|"55"|"20131011104019"|"AA00040"|""|"A Level"
479|"2013"|"A* - A"|"38.86"|"20131011104242"|"AA00040"|""|"A Level"
597|"2013"|"A* - A"|"37"|"20131011104433"|"AA00025"|""|"GCSE"
597|"2013"|"A* - B"|"60"|"20131011104439"|"AA00025"|""|"A Level"
271|"2013"|"A* - A"|"43"|"20131011105619"|"AA00040"|""|"A Level"
271|"2013"|"A* - B"|"49"|"20131011105624"|"AA00040"|""|"A Level"
322|"2013"|"A* - A"|"60"|"20131011110048"|"AA00040"|""|"GCSE"
322|"2013"|"A* - A"|"43"|"20131011110103"|"AA00040"|""|"A Level"
342|"2013"|"A* - A"|"29.59"|"20131011140129"|"AA00040"|""|"A Level"
472|"2013"|"A* - A"|"33.06"|"20131011172934"|"AA00040"|""|"A Level"
472|"2013"|""|"40"|"20131011172940"|"AA00040"|""|"GCSE"
376|"2013"|""|"40"|"20131011173437"|"AA00025"|""|"IB"
376|"2013"|"A* - A"|"80"|"20131011173444"|"AA00025"|""|"A Level"
376|"2013"|"A* - B"|"97"|"20131011173447"|"AA00025"|""|"A Level"
241|"2013"|"A* - A"|"68"|"20131011173615"|"AA00040"|""|"GCSE"
241|"2013"|"A* - A"|"49.5"|"20131011173620"|"AA00040"|""|"A Level"
125|"2013"|"A*"|"35"|"20131011173746"|"AA00040"|""|"GCSE"
197|"2013"|"A*"|"41.23"|"20131011173854"|"AA00040"|""|"GCSE"
197|"2013"|"A* - A"|"74.89"|"20131011173858"|"AA00040"|""|"GCSE"
197|"2013"|"A* - A"|"62.7"|"20131011173907"|"AA00025"|""|"A Level"
197|"2013"|"A* - B"|"83.1"|"20131011173910"|"AA00025"|""|"A Level"
422|"2013"|"A* - B"|"65"|"20131011174021"|"AA00040"|""|"A Level"
195|"2013"|"A*"|"23"|"20131011174337"|"AA00040"|""|"GCSE"
195|"2013"|"A* - A"|"48"|"20131011174343"|"AA00040"|""|"GCSE"
195|"2013"|"A* - A"|"40"|"20131011174351"|"AA00040"|""|"A Level"
195|"2013"|"A* - B"|"68"|"20131011174356"|"AA00040"|""|"A Level"
45|"2013"|"A* - A"|"52"|"20131012094648"|"AA00040"|""|"GCSE"
45|"2013"|"A* - A"|"31.91"|"20131012094654"|"AA00040"|""|"A Level"
592|"2013"|"A* - A"|"49.2"|"20131012094810"|"AA00040"|""|"GCSE"
41|"2013"|""|"25"|"20131012095628"|"AA00040"|""|"GCSE"
291|"2013"|"A* - A"|"48"|"20131012095853"|"AA00040"|""|"GCSE"
533|"2013"|"A*"|"51.9"|"20131012100835"|"AA00025"|""|"GCSE"
533|"2013"|"A* - A"|"78.6"|"20131012100839"|"AA00025"|""|"GCSE"
533|"2013"|"A* - B"|"85.2"|"20131012100843"|"AA00025"|""|"A Level"
655|"2013"|"A* - A"|"71"|"20131015095207"|"AA00040"|""|"GCSE"
655|"2013"|"A* - B"|"70"|"20131015095236"|"AA00025"|""|"A Level"
285|"2013"|"A* - A"|"36.28"|"20131015095946"|"AA00040"|""|"GCSE"
285|"2013"|"A* - A"|"36"|"20131015100123"|"AA00040"|""|"A Level"
285|"2013"|"A* - B"|"65"|"20131015100128"|"AA00040"|""|"A Level"
13|"2013"|"A* - B"|"84"|"20131015100700"|"AA00040"|""|"GCSE"
13|"2013"|"A* - A"|"55.3"|"20131015100705"|"AA00040"|""|"A Level"
416|"2013"|"A* - A"|"44"|"20131015100907"|"AA00025"|""|"A Level"
340|"2013"|"A*"|"7"|"20131015101031"|"AA00040"|""|"A Level"
570|"2013"|"A* - A"|"50"|"20131015102101"|"AA00025"|""|"GCSE"
11|"2013"|"A* - A"|"65"|"20131016095459"|"AA00040"|""|"GCSE"
11|"2013"|"A*"|"19"|"20131016095505"|"AA00025"|""|"A Level"
11|"2013"|"A* - A"|"55"|"20131016095510"|"AA00025"|""|"A Level"
11|"2013"|"A* - B"|"83"|"20131016095514"|"AA00025"|""|"A Level"
457|"2013"|"A* - A"|"25"|"20131016095650"|"AA00040"|""|"A Level"
457|"2013"|"A* - B"|"56"|"20131016095654"|"AA00040"|""|"A Level"
36|"2013"|"A* - A"|"54"|"20131016100027"|"AA00040"|""|"GCSE"
36|"2013"|"A* - A"|"41"|"20131016100050"|"AA00025"|""|"GCSE"
370|"2013"|"A* - A"|"60"|"20131016100242"|"AA00040"|""|"GCSE"
325|"2013"|"A* - A"|"65"|"20131016100507"|"AA00040"|""|"GCSE"
325|"2013"|"A* - A"|"62"|"20131016100509"|"AA00040"|""|"A Level"
325|"2013"|"A*"|"31"|"20131016100517"|"AA00040"|""|"GCSE"
594|"2013"|"A* - B"|"41.6"|"20131016183615"|"AA00040"|""|"A Level"
518|"2013"|"A* - A"|"32.75"|"20131017100420"|"AA00040"|""|"A Level"
655|"2013"|"A* - B"|"67"|"20131017193433"|"AA00025"|""|"A Level"
12|"2013"|"A*"|"33.3"|"20131021120811"|"AA00025"|""|"A Level"
